Dartmouth College,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Hanover, NH",www.dartmouth.edu,www.dartmouthsports.com,0_0.site.png
Yale University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"New Haven, CT",www.yale.edu/,www.yalebulldogs.com,1_1.site.png
Columbia University-Barnard College,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"New York, NY",www.columbia.edu,www.gocolumbialions.com/,2_2.site.png
