School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
Iowa State University,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Ames, IA",www.cyclones.com,www.iastate.edu,308_308.site.png,42.0267703,-93.6170554
Missouri Southern State University,Division II,Division II,Non-DI,Active Member,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate Athletics Association,Non-HBCU,Public,Baccalaureate Colleges,"Joplin, MO",mssulions.com,www.mssu.edu/,309_309.favicon.ico,37.08418,-94.51323
Northwest Missouri State University,Division II,Division II,Non-DI,Active Member,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate Athletics Association,Non-HBCU,Public,Master's Colleges & Universities,"Maryville, MO",www.northwestbearcats.com,www.nwmissouri.edu/,310_310.favicon.ico,40.3461017,-94.8724707
Bethany Lutheran College,Division III,Division III,Non-DI,Active Member,Upper Midwest Athletic Conference,Upper Midwest Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Mankato, MN",www.blc.edu,www.blcvikings.com,311_311.favicon.ico,44.1634663,-93.9993505
University of South Dakota,Division I,Division I,DI FCS,Active Member,The Summit League,The Summit League,Non-HBCU,Public,Research Universities,"Vermillion, SD",www.goyotes.com,www.usd.edu,312_312.favicon.ico,42.7795273,-96.929101
Gustavus Adolphus College,Division III,Division III,Non-DI,Active Member,Minnesota Intercollegiate Athletic Conference,Minnesota Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Saint Peter, MN",www.gustavus.edu,www.gustavus.edu/athletics/,313_313.gac-icon.png,44.3238384,-93.9585295
St. Olaf College,Division III,Division III,Non-DI,Active Member,Minnesota Intercollegiate Athletic Conference,Minnesota Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Northfield, MN",www.stolaf.edu,www.stolaf/athletics.edu,314_314.favicon.ico,44.4582041,-93.161159
Martin Luther College,Division III,Division III,Non-DI,Active Member,Upper Midwest Athletic Conference,Upper Midwest Athletic Conference,Non-HBCU,Private,Special Focus Schools,"New Ulm, MN",mlcknights.com/index.aspx,www.mlc-wels.edu,315_315.site.png,44.3140261,-94.4614177
Southwest Minnesota State University,Division II,Division II,Non-DI,Active Member,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,Non-HBCU,Public,Master's Colleges & Universities,"Marshall, MN",www.smsu.edu,www.smsumustangs.com,316_316.favicon.ico,48.3605336,-96.381968
Hamline University,Division III,Division III,Non-DI,Active Member,Minnesota Intercollegiate Athletic Conference,Minnesota Intercollegiate Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"St. Paul, MN",www.hamline.edu,www.hamline.edu/athletics/,317_317.site.png,44.9504037,-93.1015026
