School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State,Primary URL,Secondary URL
Mississippi State University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Mississippi State, MS",www.hailstate.com,www.msstate.edu/
"University of Tennessee, Knoxville",Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Knoxville, TN",www.utk.edu/,www.utsports.com
Vanderbilt University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Private,Research Universities,"Nashville, TN",www.vanderbilt.edu/,www.vucommodores.com
Arizona State University,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Tempe, AZ",asu.edu,www.thesundevils.com/
"University of California, Los Angeles",Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Los Angeles, CA",www.ucla.edu,www.uclabruins.com
Oregon State University,Division I,Division I,DI FBS,Active Member,Pac-12 Conference,Pac-12 Conference,Non-HBCU,Public,Research Universities,"Corvallis, OR",www.oregonstate.edu/,www.osubeavers.com
Appalachian State University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Boone, NC",www.appstate.edu,www.appstatesports.com
Texas Christian University,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Private,Research Universities,"Fort Worth, TX",www.gofrogs.com,www.tcu.edu
University of Wisconsin-Madison,Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Madison, WI",www.uwbadgers.com,www.wisc.edu/
"Indiana University, Bloomington",Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Bloomington, IN",iuhoosiers.com/,www.iub.edu/
University of Iowa,Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Iowa City, IA",hawkeyesports.com,www.uiowa.edu/
Florida Atlantic University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Boca Raton, FL",fausports.collegesports.com/,www.fau.edu
Middle Tennessee State University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Murfreesboro, TN",www.goblueraiders.com,www.mtsu.edu/
Brigham Young University,Division I,Division I,DI FBS,Active Member,West Coast Conference,Independent,Non-HBCU,Private,Research Universities,"Provo, UT",www.byu.edu,www.byucougars.com
"University of Massachusetts, Amherst",Division I,Division I,DI FBS,Active Member,Atlantic 10 Conference,Independent,Non-HBCU,Public,Research Universities,"Amherst, MA",www.umass.edu/,www.umassathletics.com
Bowling Green State University,Division I,Division I,DI FBS,Active Member,Mid-American Conference,Mid-American Conference,Non-HBCU,Public,Research Universities,"Bowling Green, OH",www.bgsu.edu,www.bgsufalcons.com
