School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Princeton University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Princeton, NJ",www.goprincetontigers.com,www.princeton.edu,163_163.site.png
Rider University,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Lawrenceville, NJ",www.gobroncs.com,www.rider.edu,164_164.favicon.ico
The College of New Jersey,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Ewing, NJ",tcnjathletics.com,www.tcnj.edu/,165_165.favicon.ico
"Rutgers, The State University of New Jersey, New Brunswick",Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"New Brunswick, NJ",www.rutgers.edu,www.scarletknights.com,166_166.site.png
Georgian Court University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Lakewood, NJ",www.gculions.com,www.georgian.edu,167_167.site.png
Stockton University,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Galloway, NJ",www.stockton.edu,www.stocktonathletics.com,168_168.site.png
Rowan University,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Research Universities,"Glassboro, NJ",www.rowan.edu/,www.rowanathletics.com,169_169.site.png
Bryant University,Division I,Division I,DI FCS,Active Member,Northeast Conference,Northeast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Smithfield, RI",www.bryant.edu,www.bryantbulldogs.com,170_170.thumbnail_default.jpg
Lebanon Valley College,Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Commonwealth,Non-HBCU,Private,Master's Colleges & Universities,"Annville, PA",www.godutchmen.com,www.lvc.edu,171_171.favicon.ico
Goldey-Beacom College,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Special Focus Schools,"Wilmington, DE",www.gbc.edu,www.gbcathletics.com,172_172.favicon.ico
Wilmington University (Delaware),Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Research Universities,"New Castle, DE",athletics.wilmu.edu/landing/index,www.wilmu.edu/index.aspx,173_173.thumbnail_default.jpg
Cairn University,Division III,Division III,Non-DI,Active Member,Colonial States Athletic Conference,Colonial States Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Langhorne, PA",www.cairn.edu,www.cairnhighlanders.com,174_174.site.png
University of Delaware,Division I,Division I,DI FCS,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Newark, DE",www.bluehens.com,www.udel.edu,175_175.site.png
Wesley College,Division III,Division III,Non-DI,Active Member,Atlantic East Conference,Atlantic East Conference,Non-HBCU,Private,Baccalaureate Colleges,"Dover, DE",www.gowesleyathletics.com,www.wesley.edu,176_176.thumbnail_default.jpg
Delaware State University,Division I,Division I,DI FCS,Active Member,Mid-Eastern Athletic Conf.,Independent,HBCU,Public,Research Universities,"Dover, DE",www.desu.edu,www.dsuhornets.com/,177_177.favicon.ico
Pace University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Research Universities,"Pleasantville, NY",www.pace.edu,www.paceuathletics.com,178_178.site.png
Nyack College,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Nyack, NY",www.nyack.edu,www.nyack.edu/athletics,
U.S. Military Academy,Division I,Division I,DI FBS,Active Member,Patriot League,Patriot League,Non-HBCU,Public,Baccalaureate Colleges,"West Point, NY",www.goArmyWestPoint.com,www.usma.edu/,180_180.favicon.ico
Vassar College,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Poughkeepsie, NY",www.vassar.edu,www.vassarathletics.com/,181_181.site.png
Marist College,Division I,Division I,DI FCS,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Poughkeepsie, NY",www.GoRedFoxes.com,www.marist.edu,182_182.site.png
State University of New York at New Paltz,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"New Paltz, NY",www.newpaltz.edu/,www.nphawks.com,183_183.favicon.ico
