School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Latitude,Longitude,Primary Icon,Updated Latitude,Updated Longitude
University of South Alabama,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Mobile, AL",www.southalabama.edu,www.usajaguars.com,30.6943566,-88.0430541,83.favicon.ico.ico,30.6943566,-88.0430541
University of Memphis,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Memphis, TN",www.gotigersgo.com,www.memphis.edu/,35.1490215,-90.0516285,84.site.png.png,35.1490215,-90.0516285
Christian Brothers University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Master's Colleges & Universities,"Memphis, TN",www.CBUBucs.com,www.cbu.edu,35.1490215,-90.0516285,85.favicon.ico.ico,35.1490215,-90.0516285
Rhodes College,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Memphis, TN",www.rhodes.edu/,www.rhodeslynx.com,35.1490215,-90.0516285,86.favicon.ico.ico,35.1490215,-90.0516285
"University of Arkansas, Monticello",Division II,Division II,Non-DI,Active Member,Great American Conference,Great American Conference,Non-HBCU,Public,Master's Colleges & Universities,"Monticello, AR",www.uamont.edu,www.uamsports.com,33.6293427,-91.7912327,,33.6293427,-91.7912327
Harding University,Division II,Division II,Non-DI,Active Member,Great American Conference,Great American Conference,Non-HBCU,Private,Research Universities,"Searcy, AR",www.harding.edu,www.hardingsports.com,35.9018987,-92.7098744,,35.9018987,-92.7098744
Arkansas State University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"State University, AR",www.astate.edu,www.astateredwolves.com,41.7159186,44.7103158,89.icon.png.png,35.4747366,-93.4673459
"University of Arkansas, Pine Bluff",Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Baccalaureate Colleges,"Pine Bluff, AR",www.uapb.edu,www.uapblionsroar.com,34.2157064,-92.0140402,90.404.aspx.ico,34.2157064,-92.0140402
Hendrix College,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Conway, AR",www.hendrix.edu,www.hendrixwarriors.com,-32.8842834,-60.726302,,35.065889,-92.362875
University of Central Arkansas,Division I,Division I,DI FCS,Active Member,Southland Conference,Southland Conference,Non-HBCU,Public,Research Universities,"Conway, AR",www.uca.edu,www.ucasports.com,-32.8842834,-60.726302,92.favicon.ico.ico,35.065889,-92.362875
University of Arkansas at Little Rock,Division I,Division I,DI Subdivision,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Little Rock, AR",www.ualr.edu,www.ualr.edu/athletics/home.html,34.7464809,-92.2895948,93.favicon.ico.ico,34.7464809,-92.2895948
Southern Arkansas University,Division II,Division II,Non-DI,Active Member,Great American Conference,Great American Conference,Non-HBCU,Public,Master's Colleges & Universities,"Magnolia, AR",www.muleriderathletics.com,www.saumag.edu,-38.3635737,-59.1502404,94.site.png.png,33.2670725,-93.2393341
Ouachita Baptist University,Division II,Division II,Non-DI,Active Member,Great American Conference,Great American Conference,Non-HBCU,Private,Baccalaureate Colleges,"ARKADELPHIA, AR",www.obu.edu,www.obutigers.com,34.1209292,-93.053784,95.interiorheader-1.jpg.jpg,34.1209292,-93.053784
Arkansas Tech University,Division II,Division II,Non-DI,Active Member,Great American Conference,Great American Conference,Non-HBCU,Public,Master's Colleges & Universities,"Russellville, AR",arkansastechsports.com/,www.atu.edu,35.2784173,-93.1337856,96.site.png.png,35.2784173,-93.1337856
University of the Ozarks (Arkansas),Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Clarksville, AR",www.ozarks.edu/,www.uofoathletics.com/landing/index,35.4714724,-93.4665731,97.Campus-Spring.jpg.jpg,35.4714724,-93.4665731
"University of Arkansas, Fort Smith",Division II,Division II,Non-DI,Active Member,Lone Star Conference,Lone Star Conference,Non-HBCU,Public,Baccalaureate Colleges,"Fort Smith, AR",www.uafortsmithlions.com,www.uafs.edu/Home/Index,35.3872218,-94.4248983,98.favicon.ico.ico,35.3872218,-94.4248983
"University of Arkansas, Fayetteville",Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Fayetteville, AR",www.arkansasrazorbacks.com,www.uark.edu,36.0625843,-94.1574328,99.ark-logo-left.png.png,36.0625843,-94.1574328
